first_cat,second_cat,titles,product_link,pictures,prices,nb_votes,votes
Cuisine et Maison,Chauffage et climatisation,"Cecotec Humidificateur Pure Aroma 150 Yang. Humidificateur ultrasonique et diffuseur d'arômes 150ml, minuteur 3h, 7 Couleurs LED, Aromathérapie, Ultra silencieux",https://www.amazon.fr/Cecotec-Humidificateur-ultrasonique-Aromath%C3%A9rapie-silencieux/dp/B07LFDSRFR/ref=zg_bs_g_3332669031_d_sccl_8/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61wOxmC+RlL._AC_UL900_SR900,600_.jpg",19.9,4934,4.2
Cuisine et Maison,Chauffage et climatisation,"Cecotec - Chauffage électrique de salle de bain à basse consommation Ready Warm 9790 Force, 2000 W, thermostat réglable, 3 modes de fonctionnement, silencieux, système de sécurité, 15 m2",https://www.amazon.fr/Thermo-Ventilateur-Portable-Cecotec-Ready/dp/B08LQGCDKC/ref=zg_bs_g_3332669031_d_sccl_9/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61dTNwZWt5L._AC_UL900_SR900,600_.jpg",19.9,505,4.1
Cuisine et Maison,Chauffage et climatisation,"Rubson AERO 360° Absorbeur d'humidité pour pièces de 40 m², déshumidificateur d'air anti odeurs & anti moisissure, inclus 2 recharges neutres de 450 g",https://www.amazon.fr/Rubson-Absorbeur-Aero-Stop-recharges/dp/B008F7YK2O/ref=zg_bs_g_3332669031_d_sccl_10/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/91vAfUwXbdL._AC_UL900_SR900,600_.jpg",25.49,3391,4.1
Cuisine et Maison,Chauffage et climatisation,"DeLonghi Radiateur électrique TRRS0920, 2000 W, 3 niveaux de puissance, blanc",https://www.amazon.fr/Delonghi-TRRS0920-Radias-Radiateur-dhuile/dp/B00ZUUEBOQ/ref=zg_bs_g_3332669031_d_sccl_11/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/41YEW03tZ5L._AC_UL900_SR900,600_.jpg",79.99,4061,4.5
Cuisine et Maison,Chauffage et climatisation,"LEVOIT Purificateur d'Air Chambre, Filtration Efficace contre Allergies et Odeurs, Silencieux, avec Éponge d'Aromathérapie, 7W Économie d'Énergie, 3 Vitesses, Air Purifier HEPA pour Maison Bureau",https://www.amazon.fr/LEVOIT-Purificateur-Filtration-Silencieux-dAromath%C3%A9rapie/dp/B0CGDJHJP6/ref=zg_bs_g_3332669031_d_sccl_12/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/617UeOJlOvL._AC_UL900_SR900,600_.jpg",49.99,8990,4.3
Cuisine et Maison,Chauffage et climatisation,"CONOPU Déshumidificateur d air Anti Moisissure, Déshumidificateur d air Electrique 23W, Déshumidificateur Cave Salle de bain Chambre, 7 Lumières de Couleur, Ultra-silencieux, Arrêt Automatique",https://www.amazon.fr/CONOPU-D%C3%A9shumidificateur-Electrique-Ultra-silencieux-Automatique/dp/B0BGHBVN2H/ref=zg_bs_g_3332669031_d_sccl_13/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71BI8QAg3ML._AC_UL900_SR900,600_.jpg",40.59,4633,4.2
Cuisine et Maison,Chauffage et climatisation,"KITMOUS Deshumidificateur d air,1500ML Deshumidificateur, Déshumidificateur Portable, Ultra-silencieux,7 Lumières de Couleur,Arrêt automatique lorsque l'eau est pleine-économie d'énergie",https://www.amazon.fr/KITMOUS-Deshumidificateur-D%C3%A9shumidificateur-Ultra-silencieux-pleine-%C3%A9conomie/dp/B0DFLS3F24/ref=zg_bs_g_3332669031_d_sccl_14/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/51KMXOWXUXL._AC_UL900_SR900,600_.jpg",69.99,3077,4.8
Cuisine et Maison,Chauffage et climatisation,Greenstar 12719 Pompe électrique pour remplissage/vidange d'un contenant SH200,https://www.amazon.fr/Greenstar-%C3%A9lectrique-remplissage-vidange-contenant/dp/B0015VGWL4/ref=zg_bs_g_3332669031_d_sccl_15/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61HGDuKIESL._AC_UL900_SR900,600_.jpg",7.9,625,4.2
Cuisine et Maison,Chauffage et climatisation,"Rowenta Chauffage soufflant, Usage salle de bain, 2 réglages, Silencieux, Compact, Mode éco, Transport et rangement faciles, Grande diffusion de la chaleur, Instant Comfort Aqua SO6510F2",https://www.amazon.fr/Rowenta-SO6510F2-Soufflant-Instant-1200-2400/dp/B00MFEHQJ2/ref=zg_bs_g_3332669031_d_sccl_16/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71OxhHHG60S._AC_UL900_SR900,600_.jpg",59.0,7309,4.5
Cuisine et Maison,Chauffage et climatisation,"Pro Breeze Radiateur Soufflant en céramique 1800W, Chauffage d'appoint avec oscillation automatique, 2 réglages de chaleur et mode ventilateur seul - Noir",https://www.amazon.fr/Pro-Breeze-1800W-oscillation-automatique/dp/B09BNYKKLN/ref=zg_bs_g_3332669031_d_sccl_17/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71cB3GRnSEL._AC_UL900_SR900,600_.jpg",43.99,13672,4.4
