first_cat,second_cat,titles,product_link,pictures,prices,nb_votes,votes
Jeux vidéo,Xbox One,Orzly Casque de Jeu avec Microphone Compatible pour Les Consoles de Jeu Nintendo Switch OLED Joycon Color Match LED Microphone et télécommande - Hornet RXH-20 Tanami Edition,https://www.amazon.fr/Orzly-Microphone-Compatible-Consoles-t%C3%A9l%C3%A9commande/dp/B08HL9DGPN/ref=zg_bs_g_2785614031_d_sccl_27/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61KnD1IvqsL._AC_UL900_SR900,600_.jpg",23.6,2689,4.3
Jeux vidéo,Xbox One,"Fachixy 「2024 New」FC100 Casque Gaming pour PC/PS4/PS5/Xbox/Mac/Nintendo Switch, Casque Gamer PS4 avec Lumière RVB, Casque PS5 avec Micro, Casque Antibruit avec Prise Jack 3,5 MM - Bleu",https://www.amazon.fr/Fachixy-microphone-Nintendo-lumi%C3%A8re-dordinateur/dp/B0C5RGLNW9/ref=zg_bs_g_2785614031_d_sccl_28/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/712v4dGoHNL._AC_UL900_SR900,600_.jpg",23.99,3794,4.3
Jeux vidéo,Xbox One,"Logitech G502 HERO Souris Gamer Filaire Haute Performance, Capteur Gaming HERO 25K, 25 600 PPP, RVB, Poids Ajustable, 11 Boutons Programmables, Mémoire Intégrée, PC/Mac - Noire",https://www.amazon.fr/Logitech-capteur-programmables-ordinateur-portable/dp/B07GS6ZS8J/ref=zg_bs_g_2785614031_d_sccl_29/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61mpMH5TzkL._AC_UL900_SR900,600_.jpg",59.99,19148,4.7
Jeux vidéo,Xbox One,Xbox Manette sans fil Elite Series 2 - Core (Bleu),https://www.amazon.fr/Xbox-USB-Manette-sans-Elite/dp/B0BY196XPY/ref=zg_bs_g_2785614031_d_sccl_30/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/718+TNhQBML._AC_UL900_SR900,600_.jpg",139.99,0,4.4
Jeux vidéo,Xbox One,"Ozeino Casque Gaming pour Ps5 PC Ps4, Casque Gamer pour Micro RGB 7 Couleurs Transducteurs 50mm Stéréo Basse Micro Anti-Bruit Réglable Compatible avec Switch Xbox Series X & S-Rouge",https://www.amazon.fr/Ozeino-Couleurs-Transducteurs-Anti-Bruit-Compatible/dp/B0CCVMWY39/ref=zg_bs_g_2785614031_d_sccl_81/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/6124U4tvjkL._AC_UL900_SR900,600_.jpg",21.99,215,4.3
Jeux vidéo,Xbox One,Super Mario - 6 Figure - Donkey Kong (76198-4L),https://www.amazon.fr/Super-Mario-Figure-Donkey-76198-4L/dp/B00MAXHOG8/ref=zg_bs_g_2785614031_d_sccl_82/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/81F-V7zJw0L._AC_UL900_SR900,600_.jpg",22.49,0,4.8
Jeux vidéo,Xbox One,KeyWe (Xbox One/Xbox Series X),https://www.amazon.fr/KeyWe-Xbox-One-X/dp/B08X55SYSP/ref=zg_bs_g_2785614031_d_sccl_83/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71AtYJYqdnL._AC_UL900_SR900,600_.jpg",7.64,0,4.7
Jeux vidéo,Xbox One,"CREATIVE G6 7.1 HD Gaming DAC et Carte Son USB Externe avec amplificateur de Casque Xamp pour PS5, PS4, Xbox One, Nintendo Switch et PC",https://www.amazon.fr/Creative-BlasterX-Externe-Casque-Nintendo/dp/B07FY45F2S/ref=zg_bs_g_2785614031_d_sccl_84/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61-2YZBnPeL._AC_UL900_SR900,600_.jpg",99.99,6062,4.2
Jeux vidéo,Xbox One,"PowerA Manette filaire pour Xbox Series X|S, manette de jeu vidéo filaire, manette de jeu pour Xbox X et S, sous licence officielle Xbox, 2 ans de garantie fabricant – Rouge",https://www.amazon.fr/PowerA-Wired-Controller-Bold-Red/dp/B08F43M1F4/ref=zg_bs_g_2785614031_d_sccl_85/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71Og2yaJKDL._AC_UL900_SR900,600_.jpg",34.99,0,4.4
Jeux vidéo,Xbox One,"ARCELI Adaptateur pour Casque Xbox, Adaptateur de Casque stéréo, Adaptateur Audio pour de Jeu für Xbox One/One S/Series S Adaptateur de Casque",https://www.amazon.fr/ARCELI-Adaptateur-Casque-st%C3%A9r%C3%A9o-Audio/dp/B0CFQM1BGX/ref=zg_bs_g_2785614031_d_sccl_86/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61azyeLL+9L._AC_UL900_SR900,600_.jpg",28.99,26,3.9
Jeux vidéo,Xbox One,"Fachixy 「2024 New」 FC200 Casque Gaming pour PS4/PS5/PC/Xbox/Nintendo Switch, Casque PS5 avec câble et lumière RGB, Casque stéréo Surround avec Micro, Noise Cancelling Gamer Headphones - Rouge",https://www.amazon.fr/Fachixy-FC200-Nintendo-Cancelling-Headphones/dp/B0BR5JZ9W8/ref=zg_bs_g_2785614031_d_sccl_87/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71pHnzkNWlL._AC_UL900_SR900,600_.jpg",23.99,3600,4.3
Jeux vidéo,Xbox One,"RedThunder G60 Clavier de Jeu sans Fil à Une Main, Rétroéclairage RVB, Mini Clavier Ergonomique Rechargeable (2000 mAh) 2,4G, Clavier Sensation Mécanique à 35 Touches pour PC, PS5, Xbox One, Gamer",https://www.amazon.fr/RedThunder-R%C3%A9tro%C3%A9clairage-Ergonomique-Rechargeable-Sensation/dp/B09QKDV6M1/ref=zg_bs_g_2785614031_d_sccl_88/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71HAtNiloNL._AC_UL900_SR900,600_.jpg",39.99,1371,4.2
Jeux vidéo,Xbox Series X,"Carte Cadeau Roblox - 800 Robux (article virtuel exclusif inclus] (Code digital pour ordinateur, téléphone, tablette, Xbox One, Xbox Series X|S, Oculus Rift et HTC Vive)",https://www.amazon.fr/Roblox-Carte-cadeau-800-Robux/dp/B081KHDDQQ/ref=zg_bs_g_20904298031_d_sccl_1/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71BhGuAb5AL._AC_UL900_SR900,600_.jpg",10.0,0,4.4
